model,val_r2,test_r2,test_mse,test_mae
linear_predictive,0.9757156280258629,0.9764413447043466,1.37783469221163,0.9003187398542161
lasso,0.9754951188542029,0.976173728097642,1.3934863259870784,0.9068867703846334
ridge,0.9758329907439287,0.9764409655883265,1.3778568649204908,0.8994215810752755
random_forest,0.9776218832544515,0.9785507912220367,1.2544631093702865,0.8478904136954625
gradient_boosting,0.9787929918673447,0.9799416802057415,1.173116569395363,0.817623736835014
